HJD,HJD_Error,Note,BJD,Cycle_obs,Cycle_cal,O-C,OC_Error
2458783.999633 ,0.000143 ,TESS,2458784.000441 ,44711.995622 ,44712.000000 ,-0.000611 ,0.000143 
2458784.139715 ,0.000126 ,TESS,2458784.140523 ,44712.998806 ,44713.000000 ,-0.000167 ,0.000126 
2458784.279214 ,0.000357 ,TESS,2458784.280022 ,44713.997816 ,44714.000000 ,-0.000305 ,0.000357 
2458784.419168 ,0.000185 ,TESS,2458784.419976 ,44715.000084 ,44715.000000 ,0.000012 ,0.000185 
2458784.558466 ,0.000314 ,TESS,2458784.559274 ,44715.997653 ,44716.000000 ,-0.000328 ,0.000314 
2458784.698405 ,0.000212 ,TESS,2458784.699213 ,44716.999814 ,44717.000000 ,-0.000026 ,0.000212 
2458784.837675 ,0.000276 ,TESS,2458784.838483 ,44717.997183 ,44718.000000 ,-0.000393 ,0.000276 
2458784.978419 ,0.000166 ,TESS,2458784.979227 ,44719.005108 ,44719.000000 ,0.000713 ,0.000166 
2458785.117378 ,0.000104 ,TESS,2458785.118186 ,44720.000251 ,44720.000000 ,0.000035 ,0.000104 
2458785.257520 ,0.000237 ,TESS,2458785.258328 ,44721.003865 ,44721.000000 ,0.000540 ,0.000237 
2458785.396658 ,0.000269 ,TESS,2458785.397466 ,44722.000289 ,44722.000000 ,0.000040 ,0.000269 
2458785.536964 ,0.000159 ,TESS,2458785.537772 ,44723.005077 ,44723.000000 ,0.000709 ,0.000159 
